,일시,일교차
0,2020.1.1,6.8
1,2020.1.2,4.5
2,2020.1.3,8.0
3,2020.1.4,8.9
4,2020.1.5,9.8
5,2020.1.6,4.0
6,2020.1.7,3.5
7,2020.1.8,9.3
8,2020.1.9,5.1
9,2020.1.10,8.5
10,2020.1.11,6.5
11,2020.1.12,6.3
12,2020.1.13,4.9
13,2020.1.14,8.3
14,2020.1.15,8.6
15,2020.1.16,8.7
16,2020.1.17,9.7
17,2020.1.18,10.0
18,2020.1.19,5.7
19,2020.1.20,8.8
20,2020.1.21,11.1
21,2020.1.22,7.9
22,2020.1.23,9.9
23,2020.1.24,8.7
24,2020.1.25,8.2
25,2020.1.26,12.1
26,2020.1.27,2.7
27,2020.1.28,5.6
28,2020.1.29,6.4
29,2020.1.30,9.0
30,2020.1.31,7.5
31,2020.2.1,8.8
32,2020.2.2,7.4
33,2020.2.3,5.9
34,2020.2.4,9.9
35,2020.2.5,6.1
36,2020.2.6,12.2
37,2020.2.7,9.4
38,2020.2.8,6.0
39,2020.2.9,9.7
40,2020.2.10,10.3
41,2020.2.11,15.1
42,2020.2.12,1.7
43,2020.2.13,3.8
44,2020.2.14,11.5
45,2020.2.15,9.4
46,2020.2.16,12.0
47,2020.2.17,3.2
48,2020.2.18,9.6
49,2020.2.19,10.8
50,2020.2.20,11.4
51,2020.2.21,8.8
52,2020.2.22,7.9
53,2020.2.23,10.5
54,2020.2.24,11.4
55,2020.2.25,4.7
56,2020.2.26,7.6
57,2020.2.27,11.2
58,2020.2.28,2.3
59,2020.2.29,8.5
60,2020.3.1,6.9
61,2020.3.2,7.6
62,2020.3.3,10.2
63,2020.3.4,5.9
64,2020.3.5,9.1
65,2020.3.6,12.6
66,2020.3.7,12.9
67,2020.3.8,14.6
68,2020.3.9,12.8
69,2020.3.10,7.6
70,2020.3.11,8.3
71,2020.3.12,13.1
72,2020.3.13,8.8
73,2020.3.14,11.3
74,2020.3.15,8.3
75,2020.3.16,11.2
76,2020.3.17,9.2
77,2020.3.18,14.3
78,2020.3.19,6.3
